id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0209,raw/imgs/IMG_8541 2.jpeg,IMG_8541 2.jpeg,.jpeg,3222988,aad1e1eb32ef728a9d685e190b53d677f2b88350141647b3eb903ce52654661e,4032,3024,Apple,iPhone XR,2022:01:09 12:37:30,2022-01-09 12:37:29,2025-12-18 22:51:09,,,True,D0001,,S0001,1,,8541,S0001,,,,,
img_0210,raw/imgs/IMG_8541.jpeg,IMG_8541.jpeg,.jpeg,3222988,e24e0a8693e52a36a1a44a18155b70b2fb62917e610ecaa959aec2dda82a40f2,4032,3024,Apple,iPhone XR,2022:01:09 12:37:30,2022-01-09 12:37:29,2025-12-18 22:50:09,,,False,D0002,,S0001,2,0.0,8541,S0001,,,,,
img_0002,raw/imgs/IMG_1015 2.jpeg,IMG_1015 2.jpeg,.jpeg,2615943,83bf91397e04d782a6fa0d4bd7d75180adf1a94ee32323e9f2f3c478ac02f73b,4032,3024,Apple,iPhone XR,2022:08:25 07:42:35,2022-08-25 07:42:35,2025-12-18 22:51:09,,,True,D0003,,S0002,1,19681505.0,1015,S0002,,,,,
img_0003,raw/imgs/IMG_1015.jpeg,IMG_1015.jpeg,.jpeg,2615943,83bf91397e04d782a6fa0d4bd7d75180adf1a94ee32323e9f2f3c478ac02f73b,4032,3024,Apple,iPhone XR,2022:08:25 07:42:35,2022-08-25 07:42:35,2025-12-18 22:50:07,,,False,D0003,raw/imgs/IMG_1015 2.jpeg,S0002,2,0.0,1015,S0002,,,,,
img_0004,raw/imgs/IMG_3216 2.jpeg,IMG_3216 2.jpeg,.jpeg,3703121,202c584d6c0b50d06634eb27151c32e4201d99a65b404184d55b478610125660,4032,3024,Apple,iPhone XR,2023:05:31 13:03:00,2023-05-31 13:03:00,2025-12-18 22:51:09,,,True,D0004,,S0003,1,24124825.0,3216,S0003,,,,,
img_0005,raw/imgs/IMG_3216.jpeg,IMG_3216.jpeg,.jpeg,3703121,202c584d6c0b50d06634eb27151c32e4201d99a65b404184d55b478610125660,4032,3024,Apple,iPhone XR,2023:05:31 13:03:00,2023-05-31 13:03:00,2025-12-18 22:50:06,,,False,D0004,raw/imgs/IMG_3216 2.jpeg,S0003,2,0.0,3216,S0003,,,,,
img_0006,raw/imgs/IMG_3316 2.jpeg,IMG_3316 2.jpeg,.jpeg,2802971,2c20ee5648237d1e7b6947f4ff0a40d998b70460650d0871cfcc8c5acf3a1552,4032,3024,Apple,iPhone XR,2023:06:21 13:31:22,2023-06-21 13:31:22,2025-12-18 22:51:09,,,True,D0005,,S0004,1,1816102.0,3316,S0004,,,,,
img_0007,raw/imgs/IMG_3316.jpeg,IMG_3316.jpeg,.jpeg,2802971,2c20ee5648237d1e7b6947f4ff0a40d998b70460650d0871cfcc8c5acf3a1552,4032,3024,Apple,iPhone XR,2023:06:21 13:31:22,2023-06-21 13:31:22,2025-12-18 22:50:09,,,False,D0005,raw/imgs/IMG_3316 2.jpeg,S0004,2,0.0,3316,S0004,,,,,
img_0008,raw/imgs/IMG_3317 2.jpeg,IMG_3317 2.jpeg,.jpeg,2234457,89758e7c94211550ec1e226b66bd73c9d66f2acd5903d50a81e3cf4a5411d701,4032,3024,Apple,iPhone XR,2023:06:21 13:39:46,2023-06-21 13:39:46,2025-12-18 22:51:09,,,True,D0006,,S0005,1,504.0,3317,S0005,,,,,
img_0009,raw/imgs/IMG_3317.jpeg,IMG_3317.jpeg,.jpeg,2234457,89758e7c94211550ec1e226b66bd73c9d66f2acd5903d50a81e3cf4a5411d701,4032,3024,Apple,iPhone XR,2023:06:21 13:39:46,2023-06-21 13:39:46,2025-12-18 22:50:10,,,False,D0006,raw/imgs/IMG_3317 2.jpeg,S0005,2,0.0,3317,S0005,,,,,
