id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0001,raw/scans/img/70914219871__BEDDB5B6-1764-47A2-B5DA-D1C8D21CF5D9 2.jpeg,70914219871__BEDDB5B6-1764-47A2-B5DA-D1C8D21CF5D9 2.jpeg,.jpeg,2842439,84d5e456cbbfc43d5904d39ee474ce5c60951ba335c33f1c1c6f5fbedc3dac9c,4032,3024,Apple,iPhone XR,2023:06:22 11:56:38,2025-12-23 18:35:13,2025-12-23 18:40:01,,,True,D0132,,S0036,3,8.0,,S0036_003,,document_page,Report on School Growth and Enrollment Policies,,"Page discussing policies for handling school growth, enrollment, and facility planning in the context of public and private schools."
img_0002,raw/scans/img/70914219871__BEDDB5B6-1764-47A2-B5DA-D1C8D21CF5D9.jpeg,70914219871__BEDDB5B6-1764-47A2-B5DA-D1C8D21CF5D9.jpeg,.jpeg,2842439,644f58a0b00a6c6840c763ce5003e6d05ac98abc7794f41317f4fa7335b27077,4032,3024,Apple,iPhone XR,2023:06:22 11:56:38,2025-12-23 18:18:10,2025-12-23 18:40:01,,,False,D0133,,S0036,4,0.0,,S0036-4,,document_page,Report on School Growth and Enrollment Policies,,"Page from a report discussing school growth, enrollment policies, and challenges in school district planning."
img_0003,raw/scans/img/IMG_0614.jpeg,IMG_0614.jpeg,.jpeg,2673117,4a311b513950581eb8a126383b788f1872070a0fdf61d160e3cd2b5f0dcc99fc,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:11:24,2025-12-23 18:34:30,2025-12-23 18:40:01,,,False,D0092,,S0030,1,254.0,614,S0030_001,,document_page,Legal document for military teachers,,"Page appears to be part of a larger document, with visible text related to legal conditions for military service and teachers attending military schools."
img_0004,raw/scans/img/IMG_0615.jpeg,IMG_0615.jpeg,.jpeg,2668385,de165b9efb3a70fb9c840666f4d80b11d6552667ac875167d9ce4ef66bc236b6,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:11:33,2025-12-23 18:34:33,2025-12-23 18:40:01,,,False,D0093,,S0030,2,9.0,615,S0030-002,,document_page,New York State Teachers' Association Pamphlet,,"Page appears to be part of a historical pamphlet or informational document about the New York State Teachers' Association, including its achievements and reasons to join."
img_0005,raw/scans/img/IMG_0616.jpeg,IMG_0616.jpeg,.jpeg,2933888,42e0a69b1d9f5a91e10034724468139e777ede894a25b95aacdd69d2aeb1f6d8,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:11:57,2025-12-23 18:34:34,2025-12-23 18:40:01,,,False,D0094,,S0030,3,24.0,616,S0030-3,,document_page,Teachers' Association Proposal for New York State,,Page appears to be part of a larger document discussing legislative proposals for teachers' rights and working conditions.
img_0006,raw/scans/img/IMG_0617.jpeg,IMG_0617.jpeg,.jpeg,2940895,5caceba0cf7effa718e9aa3af65a5ffe54d92f23a971251918e9ae9fc2fdc094,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:12:01,2025-12-23 18:34:35,2025-12-23 18:40:01,,,False,D0095,,S0030,4,4.0,617,S0030-04,,document_page,State Teachers Association Meeting Schedule,,Page appears to be part of a historical document listing meeting districts and dates for a teachers' association.
img_0007,raw/scans/img/IMG_0618.jpeg,IMG_0618.jpeg,.jpeg,2875431,f2c984659d6f42e1b0a01a2a0f2a6c299edbd89acd5cb4908fcd89d8c5559da8,2448,3264,Apple,iPad mini (5th generation),2023:06:22 11:12:17,2025-12-23 18:34:36,2025-12-23 18:40:01,,,False,D0096,,S0030,5,16.0,618,AG010,,cover_or_title_page,"Constitution and By-Laws of the School Association of Rensselaer County, N.Y. (cover)","Troy, New York (printed on title)","Printed pamphlet cover; date 1831; printer line: Tuttle, 225 River-Street. Placed on a file folder."
img_0008,raw/scans/img/IMG_0619.jpeg,IMG_0619.jpeg,.jpeg,2357748,401bc0ad5daa859934f45fe01808f68b3ecae5de4cb9018aa19bfe4a7c692ba6,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:15:56,2025-12-23 18:34:38,2025-12-23 18:40:01,,,False,D0098,,S0031,1,152.0,619,S0031_001,,letter,Letter regarding history of New York State Teachers Association,,"Document dated September 19, 1941, addressed to Mr. John C. Malloch."
img_0009,raw/scans/img/IMG_0620.jpeg,IMG_0620.jpeg,.jpeg,3277217,7cf1d7243d5438925a7dd0410ce92f4587531bdb549fa21d69f5b41a8aab0334,3264,2448,Apple,iPad mini (5th generation),2023:06:22 11:24:51,2025-12-23 18:34:39,2025-12-23 18:40:01,,,False,D0103,,S0033,1,264.0,620,AG001,,map_or_diagram,"Chart: Total Public School Enrollments in New York State, 1845–1945",New York State (scope of chart),"Bar chart with categories (cities, villages under supt's, rural) and circular insets for 1895/1905/1915/1935/1945."
img_0010,raw/scans/img/IMG_0621.jpeg,IMG_0621.jpeg,.jpeg,3098963,db84a1cd4ff54cc404fb050be4854f783c0138eb619008cc159e9271211db704,2448,3264,Apple,iPad mini (5th generation),2023:06:22 11:24:55,2025-12-23 18:34:40,2025-12-23 18:40:01,,,False,D0104,,S0033,2,4.0,621,S0033_002,,document_page,"Announcement for 1926-27, The New York State Teachers' Association",,"The document appears to be a page from an announcement or promotional material for the New York State Teachers' Association, highlighting its goals and benefits for teachers."
