The New York State Teachers' Association  
What It Has Done  
FOR THE TEACHERS  
What It Proposes Doing  

WHY YOU SHOULD JOIN  

THE New York State Teachers' Association is the teaching profession of the State of New York organized and functioning.  

During 1926-27 it has enrolled a membership of 34,000. This is an enrollment of teachers—of state-wide outlook and interest in the public schools of the State of New York.  

The Association is coming to be regarded as a unit in the state educational work. It seeks to achieve definite aims which will result in better conditions for teachers, advance the standards for the profession and a more effective service. We shall depend upon your schools to be in the class of one hundred per cent enrollment. Help the Association grow!  

WHAT THE STATE TEACHERS' ASSOCIATION HAS DONE FOR THE TEACHERS OF NEW YORK STATE  

1. It has given the teachers of this State the best Teachers' Retirement Law in the world.  
2. It has secured a minimum salary law for teachers.  
3. It has secured greatly increased quotas from the State for the teachers and thus enables local boards of education to raise salaries.  
4. It secured the passage of the law giving increased academic quotas.  

[illegible]  

[stamp: New York State Teachers' Association]  

9  

---

THE HONOR ROLL OF THE  
NEW YORK STATE TEACHERS' ASSOCIATION, 1927  

NORMAL SCHOOLS  

Brookport, Alfred C. Thompson, Principal  
Buffalo, Harry W. Rockwell, Principal  
Cortland, Harry DeW. DeGroot, Principal  
Freedonia, Howard G. Burdge, Principal  
Geneseo, Winfield A. Holcomb, Principal  
New Paltz, Laurence H. van den Berg, Principal  

Oneonta, Percy I. Bugbee, Principal  
Oswego, James G. Riggs, Principal  
Plattsburg, George K. Hawkins, Principal  
Potsdam, Randolph T. Congdon, Principal  
New York State College for Teachers, Dr. A. R. Brubacher, President  

VILLAGES  

Albion, Carl I. Bergerson, Supt.  
Baldwin, A. E. Newton, Supt.  
Ballston Spa, W. A. Andrews, Supt.  
Bath, W. H. Vanderhoof, Supt.  
Bay Shore, Floyd Hurlburt, Supt.  
Bronxville, Willard W. Beatty, Supt.  
Canastota, Glen Bogardus, Supt.  
Dansville, J. M. Barker, Supt.  
Depew, J. M. Braman, Supt.  
East Aurora, H. W. Mead, Supt.  
East Rochester, Louis E. Bird, Supt.  
East Syracuse, E. T. Hennessy, Supt.  
Elmira Heights, J. E. Demorest, Supt.  
Endicott, H. H. Crumb, Supt.  
Fairport, Thomas G. Coffey, Supt.  
Frankfort, Ira M. Stanton, Supt.  
Fredonia, C. R. Dye, Supt.  
Freport, John W. Dodd, Supt.  
Green Island, W. L. West, Supt.  
Greenport, Oscar C. Harris, Supt.  
Hamburg, Glenn C. Harris, Supt.  
Hastings-on-Hudson, J. L. Hopkins, Supt.  
Haverstraw, J. L. Kaemmerlen, Supt.  
Herkimer, L. W. Bills, Supt.  
Hicksville, E. A. VanSlyke, Supt.  
Hoosick Falls, W. Leon Hutt, Supt.  
Hudson Falls, D. R. Finley, Supt.  
Huntington, Robert K. Toaz, Supt.  
Ilion, Earl P. Watkin, Supt.  
Johnson City, Frank M. Smith, Supt.  
Lancaster, F. L. Smith, Supt.  
Lawrence, Charles S. Wright, Supt.  
LeRoy, E. B. Taylor, Supt.  
Lyndon, C. D. Voeburg, Supt.  
Malone, H. H. Lambertson, Supt.  
Mamaroneck, Arthur Z. Boothby, Supt.  
Massena, A. W. Fortune, Supt.  
Medina, H. E. Brown, Supt.  
Newark, F. Neff Stroup, Supt.  
Northport, M. D. Losey, Supt.  
North Tarrytown, C. A. Benedicet, Supt.  
Nyack, Homer J. Wighman, Supt.  
Oceanside, S. Taylor Johnson, Supt.  

CITIES  

Albany, H. H. Supt.  
Amsterdam, W. H. Lynch, Supt.  
Anbun, George F. Barford, Supt.  
Binghamton, D. J. Kelly, Supt.  
Canandaigua, Frank E. Fisk, Supt.  
Cohoes, Edward Hayward, Supt.  
Corning, Dist. No. 9, Sherman L. Howe, Supt.  
Cortland, F. E. Smith, Supt.  
Fulton, G. R. Bodley, Supt.  
Geneva, W. Lynn Houseman, Supt.  
Glen Cove, H. H. Chapman, Supt.  
Gloversville, H. W. Langworthy, Supt.  
Hornell, H. S. Dodge, Supt.  
Hudson, Montgomery C. Smith, Supt.  
Jamesstown, Milton J. Fletcher, Supt.  
Johnstown, E. L. Ackley, Supt.  
Little Falls, Henry Harvey, Supt.  
Lockport, R. B. Kelly, Supt.  
Mechaniville, E. E. Jones, Supt.  
Middletown, E. H. Burdick, Supt.  
North Tonawanda, D. E. Batheheller, Supt.  
Norwich, Frank K. Wassung, Supt.  
Ogdensburg, A. J. Laidlaw, Supt.  
Olean, Wm. C. Greenawalt, Supt.  
Oneida, H. Claude Hardy, Supt.  
Oneonta, George J. Dunn, Supt.  
Oswego, Frederick Leighton, Supt.  
Plattsburgh, George M. Elmendorf, Supt.  
Port Jervis, A. H. Naylor, Supt.  
Rensselaer, Walter S. Clark, Supt.  
Salamanca, George A. Place, Supt.  
Saratoga Springs, C. L. Mosher, Supt.  
Sehendectady, A. J. Stoddard, Supt.  
Tonawanda, Frank K. Sutley, Supt.  

Ossining, Everett A. Barto, Supt.  
Owego, Wm. A. McConnell, Supt.  
Peekskill, Fred J. Bohmann, Supt.  
Pelham, E. E. Arnold, Supt.  
Penn Yan, W. E. DeMelt, Supt.  
Perry, Charles D. Fausold, Supt.  
Port Chester, A. G. Frost, Supt.  
Port Washington, Paul D. Schreiber, Supt.  
Rockville Center, W. S. Covert, Supt.  
Roslyn, James B. Wells, Supt.  
Saranac Lake, H. V. Littell, Supt.  
Saugerties, J. C. Benedict, Supt.  
Seasdale, Ralph I. Underhill, Supt.  
Scotia, Alexander Miller, Supt.  
Seneca Falls, A. C. Hamilton, Supt.  
Solvay, Claude A. Duvall, Supt.  
Ticonderoga, Raymond W. Nash, Supt
